"时间";"机器人ID";"故障类型";"故障开始时间";"故障结束时间";"故障持续时间(s)"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 08:15:24";"2022-03-21 08:15:42";"19"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:30:30";"2022-03-21 09:30:34";"4"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:28:10";"2022-03-21 09:30:17";"127"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:21:18";"2022-03-21 09:27:49";"391"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:03:54";"2022-03-21 09:21:00";"1,026"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:03:12";"2022-03-21 09:03:36";"24"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:02:23";"2022-03-21 09:02:54";"31"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:01:35";"2022-03-21 09:02:05";"30"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:00:47";"2022-03-21 09:01:17";"30"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:00:13";"2022-03-21 09:00:28";"15"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 08:59:40";"2022-03-21 08:59:55";"15"
"2022-03-21";"1292275";"避障功能异常";"2022-03-21 10:07:03";"2022-03-21 10:08:07";"64"
"2022-03-21";"1292275";"驱动器失联";"2022-03-21 10:07:05";"2022-03-21 10:08:03";"58"
"2022-03-21";"1292275";"驱动器失联";"2022-03-21 09:57:48";"2022-03-21 09:58:55";"67"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:57:13";"2022-03-21 09:57:27";"14"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:56:41";"2022-03-21 09:56:55";"14"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:56:19";"2022-03-21 09:56:22";"3"
"2022-03-21";"1292275";"驱动器失联";"2022-03-21 09:55:02";"2022-03-21 09:56:04";"62"
"2022-03-21";"1292275";"绿灯常亮";"2022-03-21 09:31:10";"2022-03-21 09:55:00";"1,430"
"2022-03-21";"1291849";"机器人走偏";"2022-03-21 04:47:03";"2022-03-21 04:47:05";"2"
"2022-03-21";"1291849";"机器人走偏";"2022-03-21 08:34:06";"2022-03-21 08:34:08";"2"
"2022-03-21";"1291849";"机器人连续丢码";"2022-03-21 04:47:07";"2022-03-21 08:33:38";"13,591"
"2022-03-21";"1291849";"驱动器失联";"2022-03-21 08:32:25";"2022-03-21 08:33:38";"73"
"2022-03-21";"1292683";"绿灯常亮";"2022-03-21 13:31:25";"2022-03-21 13:31:31";"5"
"2022-03-21";"1291644";"绿灯常亮";"2022-03-21 17:37:19";"2022-03-21 17:37:26";"7"
"2022-03-21";"1293218";"机器人连续丢码";"2022-03-21 14:41:35";"2022-03-21 14:45:51";"255"
"2022-03-21";"1293218";"驱动器失联";"2022-03-21 14:41:54";"2022-03-21 14:45:51";"237"
"2022-03-21";"1292254";"机器人连续丢码";"2022-03-21 14:37:04";"2022-03-21 14:38:15";"71"
"2022-03-21";"1292254";"驱动器失联";"2022-03-21 14:37:25";"2022-03-21 14:38:15";"50"
"2022-03-21";"1293210";"驱动器失联";"2022-03-21 14:47:05";"2022-03-21 14:49:29";"144"
"2022-03-21";"1293154";"前防撞条触发";"2022-03-21 14:46:49";"2022-03-21 14:48:22";"93"
"2022-03-21";"1293154";"驱动器失联";"2022-03-21 14:47:12";"2022-03-21 14:48:22";"70"
"2022-03-21";"1293154";"绿灯常亮";"2022-03-21 14:46:07";"2022-03-21 14:46:41";"34"
"2022-03-21";"1293154";"绿灯常亮";"2022-03-21 14:45:55";"2022-03-21 14:46:03";"8"
"2022-03-21";"1292109";"机器人避障";"2022-03-21 09:52:30";"2022-03-21 09:53:48";"78"
"2022-03-21";"1292215";"机器人误识别二维码走偏";"2022-03-21 14:35:47";"2022-03-21 14:35:49";"2"
"2022-03-20";"1292928";"机器人避障";"2022-03-20 17:14:31";"2022-03-20 17:29:39";"908"
"2022-03-20";"1292187";"机器人避障";"2022-03-20 18:21:14";"2022-03-20 19:09:08";"2,874"
"2022-03-20";"1292187";"机器人避障";"2022-03-20 19:09:12";"2022-03-21 09:03:41";"50,069"
"2022-03-20";"1291821";"机器人避障";"2022-03-20 16:14:45";"2022-03-20 16:16:07";"82"
"2022-03-20";"1291821";"机器人避障";"2022-03-20 16:01:20";"2022-03-20 16:14:42";"802"
"2022-03-20";"1292237";"驱动器失联";"2022-03-20 13:47:34";"2022-03-20 13:48:27";"53"
"2022-03-20";"1291644";"绿灯常亮";"2022-03-20 17:51:27";"2022-03-20 17:51:35";"8"
"2022-03-20";"1292419";"绿灯常亮";"2022-03-20 11:53:16";"2022-03-20 11:53:20";"3"
